 Epoch 43 | Train acc. 0.9504 | Train loss 0.1425 | Val acc. 0.8869 | Val loss 0.3441 | test_acc 0.8851 | test loss 0.3641
 Epoch 44 | Train acc. 0.9516 | Train loss 0.1395 | Val acc. 0.8869 | Val loss 0.3457 | test_acc 0.8855 | test loss 0.3642
 Epoch 45 | Train acc. 0.9524 | Train loss 0.1368 | Val acc. 0.8879 | Val loss 0.3442 | test_acc 0.8866 | test loss 0.3628
 Epoch 46 | Train acc. 0.9533 | Train loss 0.1344 | Val acc. 0.8882 | Val loss 0.3420 | test_acc 0.8873 | test loss 0.3605
 Epoch 47 | Train acc. 0.9537 | Train loss 0.1320 | Val acc. 0.8885 | Val loss 0.3419 | test_acc 0.8869 | test loss 0.3601
 Epoch 48 | Train acc. 0.9549 | Train loss 0.1299 | Val acc. 0.8899 | Val loss 0.3402 | test_acc 0.8879 | test loss 0.3578
 Epoch 49 | Train acc. 0.9554 | Train loss 0.1277 | Val acc. 0.8892 | Val loss 0.3389 | test_acc 0.8885 | test loss 0.3568
 Epoch 50 | Train acc. 0.9559 | Train loss 0.1263 | Val acc. 0.8900 | Val loss 0.3370 | test_acc 0.8885 | test loss 0.3552
 Epoch  1 | Train acc. 0.2990 | Train loss 1.7981 | Val acc. 0.6131 | Val loss 1.0223 | test_acc 0.6060 | test loss 1.0349
 Epoch  2 | Train acc. 0.7034 | Train loss 0.7971 | Val acc. 0.7316 | Val loss 0.7018 | test_acc 0.7303 | test loss 0.7178
 Epoch  3 | Train acc. 0.7916 | Train loss 0.5934 | Val acc. 0.7796 | Val loss 0.5741 | test_acc 0.7869 | test loss 0.5850
 Epoch  4 | Train acc. 0.8179 | Train loss 0.5156 | Val acc. 0.8147 | Val loss 0.4986 | test_acc 0.8211 | test loss 0.5138
 Epoch  5 | Train acc. 0.8375 | Train loss 0.4603 | Val acc. 0.8366 | Val loss 0.4479 | test_acc 0.8353 | test loss 0.4688
 Epoch  6 | Train acc. 0.8492 | Train loss 0.4216 | Val acc. 0.8469 | Val loss 0.4224 | test_acc 0.8415 | test loss 0.4469
 Epoch  7 | Train acc. 0.8597 | Train loss 0.3940 | Val acc. 0.8543 | Val loss 0.4012 | test_acc 0.8491 | test loss 0.4276
 Epoch  8 | Train acc. 0.8669 | Train loss 0.3733 | Val acc. 0.8596 | Val loss 0.3858 | test_acc 0.8530 | test loss 0.4119
 Epoch  9 | Train acc. 0.8725 | Train loss 0.3556 | Val acc. 0.8630 | Val loss 0.3730 | test_acc 0.8586 | test loss 0.3997
 Epoch 10 | Train acc. 0.8771 | Train loss 0.3401 | Val acc. 0.8698 | Val loss 0.3596 | test_acc 0.8637 | test loss 0.3855
 Epoch 11 | Train acc. 0.8825 | Train loss 0.3269 | Val acc. 0.8747 | Val loss 0.3491 | test_acc 0.8680 | test loss 0.3738
 Epoch 12 | Train acc. 0.8866 | Train loss 0.3154 | Val acc. 0.8750 | Val loss 0.3455 | test_acc 0.8685 | test loss 0.3694
 Epoch 13 | Train acc. 0.8897 | Train loss 0.3050 | Val acc. 0.8783 | Val loss 0.3396 | test_acc 0.8715 | test loss 0.3629
 Epoch 14 | Train acc. 0.8936 | Train loss 0.2953 | Val acc. 0.8788 | Val loss 0.3365 | test_acc 0.8734 | test loss 0.3597
 Epoch 15 | Train acc. 0.8956 | Train loss 0.2865 | Val acc. 0.8798 | Val loss 0.3346 | test_acc 0.8742 | test loss 0.3569
 Epoch 16 | Train acc. 0.8983 | Train loss 0.2786 | Val acc. 0.8807 | Val loss 0.3315 | test_acc 0.8766 | test loss 0.3540
 Epoch 17 | Train acc. 0.9014 | Train loss 0.2703 | Val acc. 0.8825 | Val loss 0.3304 | test_acc 0.8748 | test loss 0.3538
 Epoch 18 | Train acc. 0.9047 | Train loss 0.2628 | Val acc. 0.8844 | Val loss 0.3291 | test_acc 0.8755 | test loss 0.3517
 Epoch 19 | Train acc. 0.9065 | Train loss 0.2561 | Val acc. 0.8835 | Val loss 0.3287 | test_acc 0.8763 | test loss 0.3515
 Epoch 20 | Train acc. 0.9092 | Train loss 0.2494 | Val acc. 0.8842 | Val loss 0.3316 | test_acc 0.8763 | test loss 0.3547
 Epoch 21 | Train acc. 0.9115 | Train loss 0.2428 | Val acc. 0.8850 | Val loss 0.3321 | test_acc 0.8755 | test loss 0.3577
 Epoch 22 | Train acc. 0.9139 | Train loss 0.2359 | Val acc. 0.8834 | Val loss 0.3334 | test_acc 0.8774 | test loss 0.3577
 Epoch 23 | Train acc. 0.9163 | Train loss 0.2291 | Val acc. 0.8819 | Val loss 0.3372 | test_acc 0.8760 | test loss 0.3612
 Epoch 24 | Train acc. 0.9181 | Train loss 0.2229 | Val acc. 0.8849 | Val loss 0.3353 | test_acc 0.8764 | test loss 0.3586
 Epoch 25 | Train acc. 0.9205 | Train loss 0.2168 | Val acc. 0.8860 | Val loss 0.3369 | test_acc 0.8761 | test loss 0.3590
 Epoch 26 | Train acc. 0.9228 | Train loss 0.2103 | Val acc. 0.8849 | Val loss 0.3370 | test_acc 0.8753 | test loss 0.3600
 Epoch 27 | Train acc. 0.9254 | Train loss 0.2051 | Val acc. 0.8870 | Val loss 0.3380 | test_acc 0.8776 | test loss 0.3585
 Epoch 28 | Train acc. 0.9276 | Train loss 0.1990 | Val acc. 0.8857 | Val loss 0.3385 | test_acc 0.8773 | test loss 0.3607
 Epoch 29 | Train acc. 0.9291 | Train loss 0.1939 | Val acc. 0.8852 | Val loss 0.3382 | test_acc 0.8796 | test loss 0.3571
 Epoch 30 | Train acc. 0.9303 | Train loss 0.1892 | Val acc. 0.8825 | Val loss 0.3400 | test_acc 0.8796 | test loss 0.3598
 Epoch 31 | Train acc. 0.9324 | Train loss 0.1846 | Val acc. 0.8855 | Val loss 0.3396 | test_acc 0.8809 | test loss 0.3591
 Epoch 32 | Train acc. 0.9348 | Train loss 0.1795 | Val acc. 0.8852 | Val loss 0.3421 | test_acc 0.8811 | test loss 0.3605
 Epoch 33 | Train acc. 0.9369 | Train loss 0.1744 | Val acc. 0.8860 | Val loss 0.3448 | test_acc 0.8798 | test loss 0.3636
 Epoch 34 | Train acc. 0.9385 | Train loss 0.1702 | Val acc. 0.8857 | Val loss 0.3472 | test_acc 0.8817 | test loss 0.3653
 Epoch 35 | Train acc. 0.9404 | Train loss 0.1658 | Val acc. 0.8864 | Val loss 0.3479 | test_acc 0.8835 | test loss 0.3667
 Epoch 36 | Train acc. 0.9416 | Train loss 0.1616 | Val acc. 0.8867 | Val loss 0.3487 | test_acc 0.8824 | test loss 0.3696
 Epoch 37 | Train acc. 0.9439 | Train loss 0.1575 | Val acc. 0.8869 | Val loss 0.3530 | test_acc 0.8820 | test loss 0.3745
 Epoch 38 | Train acc. 0.9448 | Train loss 0.1542 | Val acc. 0.8870 | Val loss 0.3507 | test_acc 0.8840 | test loss 0.3720
 Epoch 39 | Train acc. 0.9467 | Train loss 0.1504 | Val acc. 0.8864 | Val loss 0.3536 | test_acc 0.8840 | test loss 0.3745
 Epoch 40 | Train acc. 0.9482 | Train loss 0.1473 | Val acc. 0.8869 | Val loss 0.3554 | test_acc 0.8828 | test loss 0.3770
 Epoch 41 | Train acc. 0.9494 | Train loss 0.1439 | Val acc. 0.8865 | Val loss 0.3578 | test_acc 0.8826 | test loss 0.3812
 Epoch 42 | Train acc. 0.9510 | Train loss 0.1408 | Val acc. 0.8864 | Val loss 0.3567 | test_acc 0.8827 | test loss 0.3796
 Epoch 43 | Train acc. 0.9519 | Train loss 0.1381 | Val acc. 0.8884 | Val loss 0.3541 | test_acc 0.8835 | test loss 0.3776
 Epoch 44 | Train acc. 0.9535 | Train loss 0.1350 | Val acc. 0.8894 | Val loss 0.3513 | test_acc 0.8840 | test loss 0.3748
 Epoch 45 | Train acc. 0.9544 | Train loss 0.1328 | Val acc. 0.8899 | Val loss 0.3493 | test_acc 0.8860 | test loss 0.3731
 Epoch 46 | Train acc. 0.9551 | Train loss 0.1302 | Val acc. 0.8909 | Val loss 0.3472 | test_acc 0.8857 | test loss 0.3727
 Epoch 47 | Train acc. 0.9561 | Train loss 0.1280 | Val acc. 0.8929 | Val loss 0.3455 | test_acc 0.8858 | test loss 0.3704
 Epoch 48 | Train acc. 0.9564 | Train loss 0.1262 | Val acc. 0.8919 | Val loss 0.3441 | test_acc 0.8871 | test loss 0.3698
 Epoch 49 | Train acc. 0.9573 | Train loss 0.1246 | Val acc. 0.8915 | Val loss 0.3439 | test_acc 0.8875 | test loss 0.3693
 Epoch 50 | Train acc. 0.9573 | Train loss 0.1232 | Val acc. 0.8930 | Val loss 0.3417 | test_acc 0.8896 | test loss 0.3677

